"Rolling_Stones_Rank","RS_Rank_Year","Artist","Spotify_ID","Popularity","Followers","Genres","Spotify_Rank","Change_in_Rank","Spotify_Rank_Year"
1,2010,"The Beatles","3WrFJ7ztbogyGnTHbHJFl2",83,26771669,"british invasion, classic rock, merseybeat, psychedelic rock, rock",3,-2,2023
15,2010,"Stevie Wonder","7guDJrEfX3qb6FEbdPA5qi",78,6325836,"motown, soul",18,-3,2023
3,2010,"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE",81,9026630,"rock-and-roll, rockabilly",7,-4,2023
89,2010,"The Yardbirds","2lxX1ivRYp26soIavdG9bX",46,940747,"album rock, blues rock, british blues, british invasion, classic rock, country rock, folk rock, hard rock, psychedelic rock, rock, singer-songwriter",94,-5,2023
57,2010,"Grateful Dead","4TMHGUX5WI7OOm53PqSDAT",63,1768726,"cosmic american, jam band, psychedelic rock",64,-7,2023
80,2010,"Elvis Costello","2BGRfQgtzikz1pzAD0kaEn",54,548051,"new wave, new wave pop, permanent wave, power pop, singer-songwriter",88,-8,2023
11,2010,"Bob Marley","2QsynagSdAqZj3U9HgDzjD",77,11834990,"reggae, roots reggae",20,-9,2023
14,2010,"Led Zeppelin","36QJpDe2go2KgaRleHCDTp",75,13968286,"album rock, classic rock, hard rock, rock",25,-11,2023
69,2010,"Jackie Wilson","4VnomLtKTm9Ahe1tZfmZju",56,439279,"chicago soul, classic soul, rock-and-roll, soul",80,-11,2023
4,2010,"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe",78,13612997,"album rock, british invasion, classic rock, rock",16,-12,2023
18,2010,"Marvin Gaye","3koiLjNrgRTNbOwViDipeA",73,5217168,"classic soul, motown, neo soul, northern soul, quiet storm, soul",30,-12,2023
71,2010,"Frank Zappa","6ra4GIOgCZQZMOaUECftGN",55,903800,"art rock, blues rock, experimental, instrumental rock, jazz fusion, jazz rock, progressive rock, psychedelic rock, symphonic rock, zolo",83,-12,2023
87,2010,"Gram Parsons","1KA3WXYMPLxomNuoE22LYd",38,136739,"alternative country, cosmic american, country rock, folk, folk rock, roots rock, singer-songwriter",99,-12,2023
48,2010,"Run-DMC","3CQIn7N5CuRDP8wEI7FiDA",64,1311291,"east coast hip hop, golden age hip hop, hip hop, old school hip hop, queens hip hop, rap",62,-14,2023
21,2010,"Otis Redding","60df5JBRRPcnSpsIMxxwQm",71,2177046,"classic soul, memphis soul, soul, soul blues, southern soul, vocal jazz",36,-15,2023
76,2010,"The Shirelles","0x83OBqixqdCHnStP5VMcn",51,298466,"classic girl group, classic soul, doo-wop, motown, rock-and-roll, soul",91,-15,2023
78,2010,"The Stooges","4BFMTELQyWJU1SwqcXMBm3",49,601926,"alternative rock, detroit rock, permanent wave, protopunk, punk",93,-15,2023
12,2010,"The Beach Boys","3oDbviiivRWhXwIE8hxkVV",74,4360393,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, sunshine pop",29,-17,2023
27,2010,"Prince","5a2EaR3hamoenG9rDuVn8j",69,7123452,"funk, funk rock, minneapolis sound, rock, synth funk",44,-17,2023
53,2010,"The Allman Brothers Band","4wQ3PyMz3WwJGI5uEqHUVR",61,1563102,"album rock, blues rock, classic rock, country rock, folk rock, hard rock, heartland rock, jam band, mellow gold, rock, singer-songwriter, soft rock, southern rock",70,-17,2023
37,2010,"Roy Orbison","0JDkhL4rjiPNEp92jAgJnS",66,1928639,"adult standards, classic rock, folk rock, mellow gold, rock-and-roll, rockabilly, singer-songwriter",56,-19,2023
62,2010,"Joni Mitchell","5hW4L92KnC6dX9t7tYM4Ve",55,1366775,"canadian singer-songwriter, folk, folk rock, singer-songwriter",81,-19,2023
28,2010,"The Clash","3RGLhK1IP9jnYFH4BRFJBS",68,2641369,"alternative rock, permanent wave, punk, rock",48,-20,2023
50,2010,"The Band","4vpDg7Y7fU982Ds30zawDA",59,1073212,"blues rock, classic canadian rock, classic rock, cosmic american, country rock, folk, folk rock, heartland rock, jam band, mellow gold, rock, roots rock, southern rock, swamp rock",72,-22,2023
46,2010,"Janis Joplin","4NgfOZCL9Ml67xzM0xzIvC",61,3243055,"album rock, classic rock, hard rock, psychedelic rock, rock",69,-23,2023
29,2010,"The Who","67ea9eGLXYMsO2eYQRui3w",66,5250967,"album rock, british invasion, classic rock, hard rock, rock",54,-25,2023
60,2010,"The Sex Pistols","1u7kkVrr14iBvrpYnZILJR",53,1736919,"alternative rock, punk, rock",89,-29,2023
26,2010,"The Ramones","1co4F2pPNH8JjTutZkmgSm",65,2543649,"alternative rock, early us punk, permanent wave, punk, rock",57,-31,2023
47,2010,"Patti Smith","0vYkHhJ48Bs3jWcvZXvOrP",56,1071430,"art punk, permanent wave, protopunk, singer-songwriter",78,-31,2023
5,2010,"Chuck Berry","293zczrfYafIItmnmM3coR",71,1918432,"blues, blues rock, classic rock, rock, rock-and-roll, rockabilly, soul",37,-32,2023
43,2010,"Sly and the Family Stone","5m8H6zSadhu1j9Yi04VLqD",57,1000521,"classic soul, funk, funk rock, p funk, psychedelic soul, soul, southern soul",75,-32,2023
9,2010,"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok",70,3267873,"classic soul, jazz blues, memphis soul, neo soul, soul, southern soul, vocal jazz",42,-33,2023
2,2010,"Bob Dylan","74ASZWbe4lXaubB36ztrGX",70,6327849,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter",38,-36,2023
64,2010,"Phil Spector","3jVMgT4X7YeuYE4aludcmE",33,27865,"brill building pop",100,-36,2023
16,2010,"Sam Cooke","6hnWRPzGGKiapVX1UCdEAC",67,1563779,"classic soul, soul, vocal jazz",53,-37,2023
34,2010,"Neil Young","6v8FB84lnmJs434UJf2Mrm",59,2839093,"canadian singer-songwriter, classic canadian rock, classic rock, folk rock, mellow gold, permanent wave, rock, roots rock, singer-songwriter",71,-37,2023
54,2010,"Howlin’ Wolf","0Wxy5Qka8BN9crcFkiAxSR",50,500577,"acoustic blues, blues, chicago blues, delta blues, harmonica blues, memphis blues, traditional blues",92,-38,2023
33,2010,"The Everly Brothers","4ACplpEqD6JIVgKrafauzs",58,905281,"adult standards, folk rock, mellow gold, rock-and-roll, rockabilly, sunshine pop",73,-40,2023
58,2010,"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E",42,26059,"afrofuturism",98,-40,2023
6,2010,"Jimi Hendrix","776Uo845nYHJpNaStv1Ds4",68,6496767,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",47,-41,2023
10,2010,"Ray Charles","1eYhYunlNJlDoQhtYBvPsi",67,2163392,"classic soul, jazz blues, piano blues, soul, soul blues, vocal jazz",52,-42,2023
44,2010,"Public Enemy","6Mo9PoU6svvhgEum7wh2Nd",54,1048993,"conscious hip hop, east coast hip hop, golden age hip hop, hardcore hip hop, hip hop, old school hip hop, political hip hop",86,-42,2023
45,2010,"The Byrds","1PCZpxHJz7WAMF8EEq8bfc",54,969561,"album rock, beatlesque, blues rock, classic rock, cosmic american, country rock, folk, folk rock, heartland rock, mellow gold, psychedelic rock, rock, soft rock",87,-42,2023
32,2010,"Smokey Robinson and the Miracles","6TKOZZDd5uV5KnyC5G4MUt",56,1178536,"classic soul, motown, quiet storm, soul",77,-45,2023
19,2010,"The Velvet Underground","1nJvji2KIlWSseXRSlNYsC",62,1841163,"alternative rock, melancholia, permanent wave, protopunk, rock",67,-48,2023
24,2010,"Jerry Lee Lewis","2zyz0VJqrDXeFDIyrfVXSo",56,868721,"piano rock, rock-and-roll, rockabilly",79,-55,2023
7,2010,"James Brown","7GaxyUddsPok8BuhxN6OUW",63,2101031,"funk, soul",63,-56,2023
13,2010,"Buddy Holly","3wYyutjgII8LJVVOLrGI0D",56,1274874,"classic rock, folk rock, mellow gold, rock-and-roll, rockabilly, singer-songwriter",76,-63,2023
25,2010,"Fats Domino","09C0xjtosNAIXP36wTnWxd",53,527772,"louisiana blues, motown, new orleans blues, piano blues, rock-and-roll, rockabilly",90,-65,2023
17,2010,"Muddy Waters","4y6J8jwRAwO4dssiSmN91R",54,1261673,"blues, blues rock, chicago blues, classic rock, electric blues, soul, traditional blues",85,-68,2023
8,2010,"Little Richard","4xls23Ye9WR9yy3yYMpAMm",55,906993,"blues, rock-and-roll, rockabilly, soul",82,-74,2023
20,2010,"Bo Diddley","2bmixwMZXlkl2sbIbOfviq",45,309062,"acoustic blues, blues, chicago blues, electric blues, rock-and-roll, rockabilly, traditional blues",95,-75,2023
